size_cm,weight_g,color_intensity,ripeness_level,firmness,sweetness,defect_count,bruise_score,spot_score,defect_score,size_to_weight_ratio
-1.5161985161978657,-1.4068966626267179,-0.06264195636148814,-0.025673332007726764,0.032206135959713396,0.055626237951323085,0.1965323921952582,0.31458374355580154,0.14021826654680594,-0.40455509120002875,-1.1808216443014783
6.289681402075375,-0.9847924233190712,-0.07854104407130298,-0.08012108736079335,0.028458100642782504,-0.04996633051986663,0.030193289113824833,0.06512550069285797,-0.06292255795660807,0.019429866556819546,3.6579931052860917
-11.209953536842555,-3.279311233904932,0.04539695996703851,0.013481416682694498,-0.07040997886648112,0.09944007976203044,0.033402217521873064,0.036438308806685756,0.057389885742012155,-0.027526728889980208,10.822076799295049
5.3030288710890625,6.55036540795979,-0.008427459829699573,0.04836879681145343,0.06673747584998356,-0.058380566894424536,0.0295106847602569,0.15537575733326445,0.12413666572233775,-0.20892915301312487,-1.5041816216961517
-3.095902656139089,-3.4407903058428446,-0.00412505608868449,-0.0078099791978638086,-0.058168194381354336,0.06633459377490916,-0.25985693489931877,-0.44951108581049337,-0.31163376476911286,0.640824157875652,-2.096195015104906
-3.3854039901343187,-7.390587766581153,0.013156728045771553,-0.032633988762576185,-0.056999029503570664,0.013020482398083233,0.029093768274933533,-0.027552275066587868,-0.07112351481388325,0.0318848049228725,-4.634194218217543
1.7478915322992568,1.091322482373348,-0.01728222870555209,-0.08115478144904814,0.022904581290250577,0.011652945902044116,0.12987791145477307,0.17362166438594165,0.0625067690343462,-0.20165608139759666,-1.5491002253459634
0.3656396380727613,8.640488193356946,0.058191875898469116,0.09950473074610064,0.08815411225741822,-0.08954143257779873,-0.17366586311826837,-0.17658048943446344,-0.00563334461760561,0.137849236140174,-2.663609813474922
-3.4295549118003033,-8.9581122773872,0.040949064240923226,0.021607245370197627,-0.07476777337026687,0.025907612967733678,0.008797308150707584,-0.02842182238967833,0.02245010926550897,0.052039682982626886,1.3170403470304493
8.930772167577684,9.178314585971911,0.01332311690453047,0.044430979167561085,0.02188457012152345,-0.07409362276403464,-0.023884773454052103,-0.06307930207332238,0.044611485846198645,-0.03936069397741627,-2.1690077134705814
